Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC connection,PC identifier,PC name,DCDC,Filterboard DCS,Filterboard power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED crate,FED ID,,,,,,
FPix_BmI_D1_BLD14_PNL1_RNG2,,14B,M-M-1-24,8035,5,1Bd,1BD,1,,,,,,,19,,14,,,-z down left 4,1,-z down left 2,2,11,green-3,5/6,6,a,down center,1299,,,,,,
FPix_BmI_D1_BLD15_PNL1_RNG2,,15B,M-M-2-48,8050,4,1Bd,1BD,3,,,,,,,20,,14,,,-z down left 3,3,-z down left 2,2,12,green-3,29/30,6,b,down center,1299,,,,,,
FPix_BmI_D1_BLD16_PNL1_RNG2,,16B,M-M-1-05,8030,3,1Bd,1BD,5,,,,,,,21,,14,,,-z down left 3,2,-z down left 2,2,13,green-3,5/6,7,a,down center,1300,,,,,,
FPix_BmI_D1_BLD17_PNL1_RNG2,,17B,M-Y-M-NS,8031,2,1Bd,1BD,7,,,,,,,22,,14,,,-z down left 3,1,-z down left 2,2,14,green-3,29/30,7,b,down center,1300,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPix_BmI_D2_BLD1_PNL2_RNG1,HC1-Disk2-Inner,1T,M-I-4-45,9034,15,2Ta,2TA,2,,,,,,,1,,9,,,-z up left 3,1,-z up left 2,3,1,black-8,15/16,1,a,down center,1294,BmI,,,,,
FPix_BmI_D2_BLD2_PNL2_RNG1,,2T,M-I-4-46,9030,14,2Ta,2TA,4,,,,,,,2,,9,,,-z up left 3,2,-z up left 2,3,2,black-8,39/40,1,b,down center,1294,,,,,,
FPix_BmI_D2_BLD3_PNL2_RNG1,,3T,M-I-4-47,9029,13,2Ta,2TA,6,,,,,,,3,,9,,,-z up left 3,3,-z up left 2,3,3,black-8,15/16,2,a,down center,1295,,,,,,
FPix_BmI_D2_BLD4_PNL2_RNG1,,4T,M-L-4-05,9050,15,2Tb,2TB,2,,,,,,,5,,9,,,-z up left 4,1,-z up left 2,3,5,white-6,11/12,3,a,down center,1296,,,,,,
FPix_BmI_D2_BLD5_PNL2_RNG1,,5T,M-J-1-20,9014,14,2Tb,2TB,6,,,,,,,7,,9,,,-z up left 4,3,-z up left 2,3,7,white-6,11/12,4,a,down center,1297,,,,,,
FPix_BmI_D2_BLD6_PNL2_RNG1,,6T,M-J-1-23,9017,15,2Tc,2TC,2,,,,,,,12,,15,,,-z down left 4,4,-z down left 2,3,8,black-8,39/40,4,b,down center,1297,,,,,,
FPix_BmI_D2_BLD7_PNL2_RNG1,,7T,M-J-3-05,9019,14,2Tc,2TC,4,,,,,,,13,,15,,,-z down left 4,3,-z down left 2,3,9,black-8,15/16,5,a,down center,1298,,,,,,
FPix_BmI_D2_BLD8_PNL2_RNG1,,8T,M-J-3-18,9003,13,2Tc,2TC,6,,,,,,,18,,15,,,-z down left 4,2,-z down left 2,3,10,black-8,39/40,5,b,down center,1298,,,,,,
FPix_BmI_D2_BLD9_PNL2_RNG1,,9T,M-J-3-24,9001,15,2Td,2TD,2,,,,,,,20,,15,,,-z down left 3,3,-z down left 2,3,12,white-6,35/36,6,b,down center,1299,,,,,,
FPix_BmI_D2_BLD10_PNL2_RNG1,,10T,M-J-4-09,9036,14,2Td,2TD,4,,,,,,,21,,15,,,-z down left 3,2,-z down left 2,3,13,white-6,11/12,7,a,down center,1300,,,,,,
FPix_BmI_D2_BLD11_PNL2_RNG1,,11T,M-J-4-10,9008,13,2Td,2TD,6,,,,,,,22,,15,,,-z down left 3,1,-z down left 2,3,14,white-6,35/36,7,b,down center,1300,,,,,,
FPix_BmI_D2_BLD1_PNL1_RNG1,,1B,M-K-1-48,9043,10,2Ba,2BA,2,,,,,,,1,,9,,,-z up left 3,1,-z up left 2,3,1,red-7,13/14,1,a,down center,1294,,,,,,
